Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
5454,Riddhi Corporate...,4.0,(95 Reviews),Public,Ahmedabad + 20 more,12 years old,11-50 Employees (India),BPO / Call Centre,7
5455,Vision Rx Lab,4.2,(95 Reviews),Kolkata + 17 more,63 years old,501-1k Employees (India),,Consumer goods,14
5456,Arabian Bemco Co...,4.6,(95 Reviews),Jeddah + 9 more,54 years old,51-200 Employees (India),,Engineering & Construction,14
5457,Bharti Retail,4.5,(95 Reviews),Private,New Delhi + 34 more,46 years old,201-500 Employees (India),Retail,13
5458,iSource,3.1,(95 Reviews),Private,"Noida,Uttar Pradesh + 7 more",19 years old,201-500 Employees (India),Telecom / ISP,12
5459,Integra Global S...,3.5,(95 Reviews),Private,"Wexford,Pennsylvania",18 years old,501-1k Employees (India),Advertising / PR / Events,9
5460,Frontline NCR Bu...,3.5,(95 Reviews),Private,New Delhi + 21 more,15 years old,1k-5k Employees (Global),Advertising / PR / Events,1
5461,Delhi Police,3.9,(95 Reviews),Private,New Delhi + 9 more,161 years old,1k-5k Employees (India),Law Enforcement / Security Services,19
5462,Aamby Valley Cit...,4.3,(95 Reviews),Public,Pune + 5 more,19 years old,1k-5k Employees (India),Real Estate,11
5463,Government Medic...,4.3,(95 Reviews),Kottayam + 37 more,1k-5k Employees (India),,,Education / Training,19
5464,Total Environmen...,3.4,(95 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 2 more",26 years old,501-1k Employees (India),Architecture / Interior Design,18
5465,Easypolicy.com,3.5,(95 Reviews),Private,"Noida,Uttar Pradesh + 3 more",11 years old,201-500 Employees (India),Internet,12
5466,NSDL e-Governanc...,4.0,(95 Reviews),Public,"Mumbai,Maharashtra + 6 more",27 years old,501-1k Employees (India),Consulting,1
5467,XenonStack,4.2,(95 Reviews),Private,"SunnyVale,California",10 years old,51-200 Employees (India),IT Services & Consulting,19
5468,Dozco,4.2,(95 Reviews),Visakhapatnam + 24 more,39 years old,501-1k Employees (India),,Import & Export,20
5469,IndiaLends,3.8,(95 Reviews),Private,"Delhi,NCT + 2 more",8 years old,201-500 Employees (India),Financial Services,17
5470,Fashion TV,4.4,(95 Reviews),Paris + 4 more,51-200 Employees (India),,,TV / Radio,5
5471,Goel Ganga Group,4.5,(95 Reviews),Private,"Pune,Maharashtra + 2 more",19 years old,51-200 Employees (India),Financial Services,3
5472,eMDs,3.6,(95 Reviews),Private,Austin + 3 more,26 years old,201-500 Employees (India),IT Services & Consulting,2
5473,Celebrity Cruise...,4.7,(95 Reviews),Miami + 3 more,33 years old,501-1k Employees (India),,Advertising / PR / Events,3
5474,Sunteck Realty,3.5,(95 Reviews),Public,"Mumbai,Maharashtra + 2 more",41 years old,51-200 Employees (India),Real Estate,8
5475,E-meditek Tpa Se...,3.7,(95 Reviews),Private,Gurgaon + 15 more,22 years old,501-1k Employees (Global),Banking / Insurance / Accounting,16
5476,Desai Constructi...,4.1,(95 Reviews),Private,"Mumbai,Maharashtra + 16 more",47 years old,51-200 Employees (India),Engineering & Construction,6
5477,Kaff Appliances ...,3.1,(95 Reviews),"Gurgaon,Haryana + 20 more",15 years old,51-200 Employees (India),,Internet,13
5478,TMTL,4.0,(95 Reviews),Chennai + 15 more,17 years old,10k-50k Employees (India),,Automobile,16
5479,Axalta Coating S...,4.4,(95 Reviews),Private,"Philadelphia,New South Wales + 15 more",9 years old,51-200 Employees (India),Chemicals,16
5480,NIMS University,3.3,(95 Reviews),Private,"Jaipur,Rajasthan + 4 more",14 years old,501-1k Employees (India),Education / Training,3
5481,Kamdhenu,4.1,(95 Reviews),Public,Alwar + 23 more,27 years old,501-1k Employees (India),Building Material,13
5482,Global Opportuni...,4.3,(95 Reviews),Private,"Delhi/NCR,Delhi + 12 more",21 years old,51-200 Employees (India),Consulting,14
5483,Teerthanker Maha...,3.6,(95 Reviews),"Moradabad,Uttar Pradesh + 4 more",14 years old,1k-5k Employees (India),,Education / Training,8
5484,K R Mangalam Uni...,4.6,(95 Reviews),"Gurgaon,Haryana + 3 more",9 years old,51-200 Employees (India),,Education / Training,12
5485,Altius Customer ...,3.7,(95 Reviews),Private,"Mumbai,Maharashtra + 4 more",19 years old,201-500 Employees (India),BPO / Call Centre,8
5486,Sulphur Mills,3.9,(95 Reviews),Public,"Mumbai,Maharashtra + 16 more",62 years old,201-500 Employees (India),Chemicals,9
5487,Maxinfra,4.2,(95 Reviews),Private,Hyderabad + 8 more,47 years old,51-200 Employees (India),Real Estate,1
5488,Hombale Construc...,4.6,(95 Reviews),Bangalore + 3 more,15 years old,51-200 Employees (India),,Engineering & Construction,6
5489,Enova Facilities...,4.3,(95 Reviews),Private,"Chicago,Illinois + 10 more",20 years old,1k-5k Employees (Global),Internet,19
5490,DTC Projects,4.0,(95 Reviews),Private,"Kolkata,West Bengal + 5 more",52 years old,51-200 Employees (India),Architecture / Interior Design,11
5491,Virtusa Software...,3.6,(95 Reviews),Public,Southborough + 7 more,26 years old,5k-10k Employees (India),IT Services & Consulting,11
5492,Revlon,4.0,(95 Reviews),New York + 21 more,90 years old,501-1k Employees (India),,Beauty & Personal Care,13
5493,ICRA Analytics,4.1,(95 Reviews),Private,"Kolkata,West Bengal + 2 more",23 years old,501-1k Employees (India),Financial Services,11
5494,Spice Money,4.2,(95 Reviews),"Noida,Uttar Pradesh + 30 more",22 years old,501-1k Employees (India),,FinTech / Payments,18
5495,House of Beauty,4.7,(95 Reviews),"Gurgaon/Gurugram,Haryana + 12 more",3 years old,51-200 Employees (India),,Internet,15
5496,InnovationM,3.9,(95 Reviews),Private,"Noida,Uttar Pradesh + 2 more",12 years old,201-500 Employees (India),Hardware & Networking,1
